Loja,Produto,Fornecedor,Ultima_Atualizacao,Estoque_Atual,Media_Vendas_Semana,Custo_Unit
Estoque Central,AGUA COM GAS INDAIA 330ML - 330ml,Ambev,28/11 10:16,48,0.0,1.62
Estoque Central,AGUA MINERAL INDAIA 330ml - 330ml,Ambev,28/11 10:16,24,0.0,1.54
Estoque Central,BARRA DE FRUTA NUTRY DE BANANA COM CHOCOLATE,ATACADÃO,28/11 10:16,24,0.0,1.58
Estoque Central,BARRINHA GOIABA BAUDUCCO - 30g,Coutrim,28/11 10:16,8,0.0,1.07
Estoque Central,BEIJO DE LEITE,Salvador News,28/11 10:16,22,0.0,1.0
Estoque Central,BEIJO DE MOÇA DOCES VIEIRA,Salvador News,28/11 10:16,39,0.0,1.05
Estoque Central,BIS XTRA ORIGINAL - 45g,Mondelez,28/11 10:16,49,0.0,3.19
Estoque Central,BOLINHO DUPLO CHOCOLATE BAUDUCCO,Coutrim,28/11 10:16,15,0.0,1.73
Estoque Central,CHOKITO - 32g,Salvador News,28/11 10:16,30,0.0,2.61
Estoque Central,DANONE LÍQUIDO VITAMINAS DE FRUTAS 170G,Disalli,28/11 10:16,10,0.0,3.09
Estoque Central,GUARANA ANTARCTICA DIET LATA - 350ML,Ambev,28/11 10:16,36,0.0,2.41
Estoque Central,GUARANA ANTARCTICA LATA - 350ML,Ambev,28/11 10:16,12,0.0,2.441666666666667
Estoque Central,IOGURTE DESNATADO NATURAL DANONE COPO 160G,Disalli,28/11 10:16,4,0.0,2.99
Estoque Central,JUJUBA,Atacadão,28/11 10:16,21,0.0,1.0
Estoque Central,KITKAT,Nestlé,28/11 10:16,24,0.0,3.283333333333333
Estoque Central,KITKAT MINI MOMENTS,Nestlé,28/11 10:16,39,0.0,3.96875
Estoque Central,MMS AMENDOIM 45G,Atacadão,28/11 10:16,18,0.0,4.61
Estoque Central,MMS CHOCOLATE 45G,Atacadão,28/11 10:16,11,0.0,4.61
Estoque Central,NESCAU 180ML,Nestlé,28/11 10:16,9,0.0,2.22
Estoque Central,OURO BRANCO - 20g,Mondelez,28/11 10:16,50,0.0,0.9148
Estoque Central,PAÇOQUITA,Salvador News,28/11 10:16,55,0.0,0.49
Estoque Central,PAÇOQUITA ZERO COM AVEIA,Geral,28/11 10:16,24,0.0,0.0
Estoque Central,PE DE MOÇA,Salvador News,28/11 10:16,20,0.0,1.05
Estoque Central,PRESTIGIO,Nestlé,28/11 10:16,1,0.0,1.8076666666666663
Estoque Central,SONHO DE VALSA - 20g,Mondelez,28/11 10:16,55,0.0,0.0
Estoque Central,SUCO UVA MARATA 200ML,Geral,28/11 10:16,3,0.0,0.0
Hosp. Santo Amaro,AGUA COM GAS INDAIA 330ML - 330ml,Geral,28/11 11:41,0,21.0,0.0
Hosp. Santo Amaro,AGUA DE COCO TROPICAL 300ML,Geral,28/11 11:41,0,6.0,0.0
Hosp. Santo Amaro,AGUA MINERAL INDAIA 330ml - 330ml,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,AÇAI COM GREGO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,AÇAI COM LEITINHO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,AÇAI COM MARACUJÁ,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,AÇAI NATURAL,Geral,28/11 11:41,0,6.0,0.0
Hosp. Santo Amaro,AÇAÍ COM CUPUAÇU,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BANANINHA PALMITAL TRADICIONAL,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BARRA AO LEITE 20G HERSHEYS,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BARRA DE FRUTA NUTRY DE BANANA COM CHOCOLATE,Geral,28/11 11:41,0,6.0,0.0
Hosp. Santo Amaro,BARRA DE FRUTA NUTRY DE COCO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BARRA SUPINO PROTEIN AMENDOIM E CARAMELO 30G,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BARRINHA GOIABA BAUDUCCO - 30g,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BATON - 16g,Geral,28/11 11:41,0,15.0,0.0
Hosp. Santo Amaro,BEIJO DE LEITE,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BEIJO DE MOÇA DOCES VIEIRA,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BIS XTRA ORIGINAL - 45g,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,BISCOITO BAUDUCCO CHOCO BISCUIT - 36g,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BISCOITO CREAM CRACKER,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BISCOITO OREO - 36G,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BOLINHO DUPLO CHOCOLATE BAUDUCCO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BONO FININHO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,BRIGADEIRO DOCES VIEIRA,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,CHA ICE TEA LEAO LIMAO 250 ML - 250ML,Geral,28/11 11:41,0,6.0,0.0
Hosp. Santo Amaro,CHA ICE TEA LEAO PESSEGO 250 ML - 250ML,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,CHOCOLATE TALENTO AMENDOAS E PASSAS - 25G,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,CHOCOLATE TALENTO AVELAS 25g - 25G,Geral,28/11 11:41,0,10.0,0.0
Hosp. Santo Amaro,CHOCOLATE TALENTO CASTANHA DO PARA - 25G,Geral,28/11 11:41,0,10.0,0.0
Hosp. Santo Amaro,CHOCOLATE TALENTO MEIO AMARGO AMENDOAS - 25G,Geral,28/11 11:41,0,15.0,0.0
Hosp. Santo Amaro,CHOKITO - 32g,Geral,28/11 11:41,0,7.0,0.0
Hosp. Santo Amaro,CLUB SOCIAL ORIGINAL 24 grs,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,COCA COLA LATA - 220ML,Geral,28/11 11:41,0,12.0,0.0
Hosp. Santo Amaro,COCA COLA ZERO - 220ML,Geral,28/11 11:41,0,25.0,0.0
Hosp. Santo Amaro,COCADA BAIANA DOCES VIEIRA,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,COOKIES CHOCOLATE BAUDUCCO 60g - 60G,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,DANONE GREGO FRUTAS VERMELHAS - 90G,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,DANONE GREGO TRADICIONAL 90G,Geral,28/11 11:41,0,12.0,0.0
Hosp. Santo Amaro,DANONE LÍQUIDO VITAMINAS DE FRUTAS 170G,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,FANTA LARANJA 220ml LATA - 220ML,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,GUARANA ANTARCTICA DIET LATA - 350ML,Geral,28/11 11:41,0,7.0,0.0
Hosp. Santo Amaro,GUARANA ANTARCTICA LATA - 350ML,Geral,28/11 11:41,0,7.0,0.0
Hosp. Santo Amaro,IOGURTE LIQUIDO DANONE MORANGO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,JUJUBA,Geral,28/11 11:41,0,6.0,0.0
Hosp. Santo Amaro,KITKAT,Geral,28/11 11:41,0,15.0,0.0
Hosp. Santo Amaro,KITKAT DARK,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,KITKAT MINI MOMENTS,Geral,28/11 11:41,0,8.0,0.0
Hosp. Santo Amaro,MINI OREO,Geral,28/11 11:41,0,5.0,0.0
Hosp. Santo Amaro,MMS AMENDOIM 45G,Geral,28/11 11:41,0,5.0,0.0
